GHS,GDPpc,ME,GS,CGD
1908.033936,33086.09677,3646515110,1671017214,126.55648
555.1047363,27191.66866,3622068492,3750393283,35.8197
585.87323,26005.97994,66527303992,2.12E+11,13.456714
49.20445633,1975.252453,115716812.4,10155648.55,36.498829
1093.405518,47309.1246,7.04E+10,1.26E+11,17.159603
55.01403809,3203.900758,305441261.6,2198708735,61.232211
528.545166,16534.33908,801700087.2,-69660411.89,57.906131
791.6566772,27242.65605,22258545.47,8107908.658,63.159971
66.40218353,1642.606593,39577826,-19158227.57,57.890346
2618.712402,94940.97079,10195721999,1.07E+11,110.65389
1186.136353,30907.42279,1049074347,1848527166,55.614383
1920.28186,36650.80219,473796757.2,3536057732,66.856624
499.2375488,12703.42124,3638936588,8452485181,53.02161
2506.464844,39575.53515,16043533257,87550913793,86.664034
159.4847412,12584.10442,1866534439,18957721864,77.378217
193.793045,4362.578409,4382998817,5781174542,159.17971
5904.583984,52739.01139,5526592999,62030016006,39.629967
9956.259766,67139.04992,4628401509,85714139467,14.505819
33.91657639,2530.438453,611215551.9,8619861740,32.535938
247.0351105,17420.56515,6305880241,68638166836,4.2828212
83.19770813,3165.799424,25442000,236550853.4,75.95224
38.04871368,1516.526046,88414114.92,389230663.1,44.773296
444.6536865,27934.16733,17824007487,83806292187,28.177207
38.42644119,2074.860241,346762883.8,1274289931,39.710592
177.4088898,11871.12362,3647565178,6418410177,71.79915
3858.674316,45974.86435,46433303401,-11955587652,86.098753
10246.13867,59957.72585,6.06E+11,5.30E+11,88.805993
1591.533203,21324.846,1165710349,1902358784,47.454312
129.5759583,7155.745829,5073853534,28782059060,61.4
67.64866638,3485.002103,339664531.4,5514612796,65.523022
110.1496201,3028.245976,340522000,-2384942814,52.866019
